SP;KM ;LOCALIZAÇÃO;MUNICÍPIO;TIPO
SP 281;34;-23.87892, -49.36783;Riversul;Simples
SP 281;35;-23.87107, -49.36755;Riversul;Simples
SP 281;36;-23.86318, -49.37354;Riversul;Simples
SP 281;37;-23.85997, -49.38055;Riversul;Simples
SP 281;38;-23.85166, -49.38802;Riversul;Simples
SP 281;39;-23.84387, -49.39125;Riversul;Simples
SP 281;40;-23.83659, -49.39428;Riversul;Simples
SP 281;41;-23.82979, -49.39989;Riversul;Simples
SP 281;42;-23.82253, -49.40508;Riversul;Simples
SP 281;43;-23.81411, -49.40744;Riversul;Simples
SPA 003/245;2;-23.11906, -48.98926;Arandu;Simples
SPA 003/245;3;-23.12423, -48.99734;Arandu;Simples
SPA 003/245;4;-23.12848, -49.00498;Arandu;Simples
SPA 003/245;5;-23.13007, -49.01498;Arandu;Simples
SPA 003/245;6;-23.12879, -49.02362;Arandu;Simples
SPA 003/245;7;-23.13025, -49.03341;Arandu;Simples
SPA 003/245;8;-23.13214, -49.04288;Arandu;Simples
SPA 003/245;8,7;-23.13316, -49.04812;Arandu;Simples
SPA 005/245;0;-23.09748, -48.98931;Arandu;Simples
SPA 005/245;0,15;-23.09701, -48.98874;Arandu;Simples
SPA 005/245;0,3;-23.09593, -48.98778;Arandu;Simples
SPA 039/281;0;-23.84163, -49.39572;Riversul;Terra
SPA 039/281;0,1;-23.84223, -49.39652;Riversul;Terra
SPA 039/281;0,18;-23.84242, -49.39691;Riversul;Terra
SPA 039/281;0,3;-23.84304, -49.39855;Riversul;Terra
SPA 039/281;0,5;-23.84342, -49.40050;Riversul;Terra
SPA 039/281;0,7;-23.84311, -49.40200;Riversul;Terra
SPA 039/281;1;-23.84159, -49.40453;Riversul;Terra
SPA 040/079;1;-23.22955, -47.30462;Salto;Dupla
SPA 040/079;1;-23.23010, -47.30477;Salto;Dupla
SPA 040/079;2;-23.23877, -47.30653;Salto;Dupla
SPA 040/079;2;-23.23713, -47.30618;Salto;Dupla
SPA 040/079;3;-23.24798, -47.30648;Salto;Dupla
SPA 040/079;3;-23.24849, -47.30633;Salto;Dupla
SPA 341/258;0;-24.11416, -49.36069;Itararé;Simples
SPA 341/258;0,1;-24.11460, -49.36010;Itararé;Simples
SPA 341/258;0,2;-24.11439, -49.35838;Itararé;Simples
SPA 341/258;0,4;-24.11429, -49.35695;Itararé;Simples
SPA 341/258;0,5;-24.11422, -49.35618;Itararé;Simples
SPA 341/258;0,6;-24.11419, -49.35546;Itararé;Simples
SPA 341/258;0,7;-24.11428, -49.35417;Itararé;Simples
SPA 097/250;16;-23.60645, -47.45565;Votorantim;Terra
SPA 097/250;17;-23.60191, -47.46270;Votorantim;Terra
SPA 097/300;0,1;-23.24858, -47.22667;Itu;Simples
SPA 097/300;1;-23.24184, -47.23085;Itu;Simples
SPA 097/300;2;-23.23688, -47.23718;Itu;Simples
SPA 097/300;3;-23.22981, -47.24356;Itu;Simples
SPA 097/300;4;-23.22627, -47.25189;Itu;Simples
SPA 097/300;5;-23.22059, -47.25957;Itu;Simples
SPA 097/300;6;-23.21570, -47.26784;Itu;Simples
SPA 097/300;7;-23.21464, -47.27697;Itu;Simples
SPA 097/300;8;-23.21293, -47.28647;Itu;Simples
SPA 099/139;0;-23.88975, -48.01094;São Miguel Arcanjo;Terra
SPA 099/139;0,56;-23.88523, -48.01078;São Miguel Arcanjo;Terra
SPA 099/139;1;-23.88055, -48.01082;São Miguel Arcanjo;Terra
SPA 099/139;1,5;-23.87657, -48.01005;São Miguel Arcanjo;Terra
SPA 099/139;2;-23.87469, -48.00901;São Miguel Arcanjo;Terra
SPA 103/079;3;-23.5680.83, -47.4538.61;Votorantim;Dupla
SPA 103/079;4,5;-23.5737.03, -47.4570.72;Votorantim;Dupla
SPA 103/079;5;-23.5780.73, -47.4582.12;Votorantim;Dupla
SPA 103/079;5,5;-23.5862.54, -47.4558.30;Votorantim;Dupla
SPA 103/079;6;-23.5930.84, -47.4549.31;Votorantim;Dupla
SPA 103/079;6,5;-23.5946.31, -47.4560.56;Votorantim;Dupla
SPA 103/079;7;-23.5949.52, -47.4562.89;Votorantim;Dupla
SPA 115/280;0;-23.29793, -47.67842;Boituva;Simples
SPA 115/280;1;-23.30578, -47.68144;Boituva;Simples
SPA 115/280;2;-23.31465, -47.68222;Boituva;Simples
SPA 115/280;3;-23.32351, -47.68246;Boituva;Simples
SPA 115/280;4;-23.33258, -47.68352;Boituva;Simples
SPA 115/280;5;-23.33860, -47.68831;Boituva;Simples
SPA 142/270;0,2;-23.56271, -47.84405;Sarapuí;Simples
SPA 142/270;1;-23.56840, -47.83853;Sarapuí;Simples
SPA 142/270;2;-23.57529, -47.83649;Sarapuí;Simples
SPA 142/270;3;-23.57945, -47.82776;Sarapuí;Simples
SPA 142/270;4;-23.58658, -47.82360;Sarapuí;Simples
SPA 142/270;5;-23.59584, -47.82273;Sarapuí;Simples
SPA 142/270;6;-23.60534, -47.82335;Sarapuí;Simples
SPA 142/270;7;-23.61321, -47.82327;Sarapuí;Dupla
SPA 142/270;8;-23.62206, -47.82494;Sarapuí;Dupla
SPA 142/270;9;-23.63101, -47.82585;Sarapuí;Dupla
SPA 142/270;9,8;-23.63781, -47.82634;Sarapuí;Dupla
SPA 145/270;0;-23.56362, -47.87805;Alambari;Simples
SPA 145/270;0,5;-23.56359, -47.87803;Alambari;Simples
SPA 145/270;1;-23.56013, -47.87855;Alambari;Simples
SPA 162/270;0;-23.59756, -48.03175;itapetininga;Simples
SPA 162/270;0,4;-23.59384, -48.03302;itapetininga;Simples
SPA 162/270;0,8;-23.59032, -48.03494;itapetininga;Simples
SPA 162/270;1;-23.58839, -48.03551;itapetininga;Simples
SPA 162/270;1,17;-23.58599, -48.03619;itapetininga;Simples
SPA 162/280;0,3;-23.22957, -48.12079;Porangaba;Simples
SPA 162/280;1;-23.22871, -48.12063;Porangaba;Simples
SPA 162/280;2;-23.21204, -48.12077;Porangaba;Simples
SPA 162/280;3;-23.20326, -48.12218;Porangaba;Simples
SPA 162/280;4;-23.20350, -48.12252;Porangaba;Simples
SPA 162/280;5;-23.19653, -48.12285;Porangaba;Simples
SPA 162/280;5,8;-23.18907, -48.12230;Porangaba;Simples
SPA 173/250;0;-23.88893, -47.98097;São Miguel Arcanjo;Simples
SPA 173/250;0,5;-23.88615, -47.98480;São Miguel Arcanjo;Simples
SPA 173/250;1;-23.88271, -47.93780;São Miguel Arcanjo;Simples
SPA 173/250;1,6;-23.87989, -47.99075;São Miguel Arcanjo;Simples
SPA 180/250;0;-23.88275, -48.01012;São Miguel Arcanjo;Simples
SPA 180/250;0,5;-23.88259, -48.00614;São Miguel Arcanjo;Simples
SPA 294/250;17;-24.44300, -48.59517;Apiaí;Terra
SPA 204/270;0;-23.52866, -48.39482;Angatuba;Simples
SPA 204/270;1;-23.52133, -48.39594;Angatuba;Simples
SPA 204/270;2;-23.51498, -48.39983;Angatuba;Simples
SPA 204/270;3;-23.50759, -48.40529;Angatuba;Simples
SPA 204/270;4;-23.49890, -48.40758;Angatuba;Simples
SPA 204/270;5;-23.48979, -48.40969;Angatuba;Simples
SPA 205/270;0;-23.52881, -48.40511;Angatuba;Terra
SPA 205/270;1;-23.53470, -48.40863;Angatuba;Terra
SPA 205/270;2;-23.54060, -48.40256;Angatuba;Terra
SPA 205/270;3;-23.54941, -48.40072;Angatuba;Terra
SPA 205/270;4;-23.55677, -48.39654;Angatuba;Terra
SPA 205/270;5;-23.56263, -48.39011;Angatuba;Terra
SPA 205/270;6;-23.57218, -48.38696;Angatuba;Terra
SPA 205/270;6,35;-23.57302, -48.38651;Angatuba;Terra
SPA 205/270;0;-23.52881, -48.40511;Angatuba;Terra
SPA 205/270;1;-23.53470, -48.40863;Angatuba;Terra
SPA 205/270;2;-23.54060, -48.40256;Angatuba;Terra
SPA 205/270;3;-23.54941, -48.40072;Angatuba;Terra
SPA 205/270;4;-23.55677, -48.39654;Angatuba;Terra
SPA 205/270;5;-23.56263, -48.39011;Angatuba;Terra
SPA 205/270;6;-23.57218, -48.38696;Angatuba;Terra
SPA 205/270;6,35;-23.57302, -48.38651;Angatuba;Terra
SPA 223/270;0;-23.48764, -48.56940;Angatuba;Simples
SPA 223/270;1;-23.47955, -48.57210;Angatuba;Simples
SPA 223/270;2;-23.47073, -48.57670;Angatuba;Terra
SPA 223/270;3;-23.46226, -48.57841;Angatuba;Terra
SPA 223/270;4;-23.45446, -48.58260;Angatuba;Terra
SPA 223/270;5;-23.44550, -48.59002;Angatuba;Terra
SPA 223/270;6;-23.44141, -48.59816;Angatuba;Terra
SPA 245/270;0;-23.46791, -48.77620;Paranapanema;Simples
SPA 245/270;1;-23.46023, -48.77459;Paranapanema;Simples
SPA 245/270;2;-23.45150, -48.77275;Paranapanema;Simples
SPA 245/270;3;-23.44200, -48.77080;Paranapanema;Simples
SPA 245/270;4;-23.43545, -48.76643;Paranapanema;Simples
SPA 245/270;5;-23.42930, -48.75901;Paranapanema;Simples
SPA 245/270;6;-23.42120, -48.75510;Paranapanema;Simples
SPA 245/270;7;-23.41105, -48.75751;Paranapanema;Simples
SPA 245/270;8;-23.40439, -48.75300;Paranapanema;Simples
SPA 245/270;9;-23.39841, -48.74568;Paranapanema;Simples
SPA 245/270;10;-23.39738, -48.73660;Paranapanema;Simples
SPA 245/270;11;-23.39206, -48.72733;Paranapanema;Simples
SPA 282/258;0;-23.97275, -48.86184;Itapeva;Dupla
SPA 282/258;0;-23.97275, -48.86184;Itapeva;Dupla
SPA 282/258;0,2;-23.97384, -48.86399;Itapeva;Dupla
SPA 282/258;0,2;-23.97384, -48.86399;Itapeva;Dupla
SPA 282/258;0,2;-23.97394, -48.86338;Itapeva;Dupla
SPA 282/258;0,2;-23.97394, -48.86338;Itapeva;Dupla
SPA 282/258;0,5;-23.97375, -48.86683;Itapeva;Dupla
SPA 282/258;0,5;-23.97375, -48.86683;Itapeva;Dupla
SPA 282/258;0,5;-23.97387, -48.86671;Itapeva;Dupla
SPA 282/258;0,5;-23.97387, -48.86671;Itapeva;Dupla
SPA 282/258;0,8;-23.97516, -48.86838;Itapeva;Dupla
SPA 282/258;0,8;-23.97516, -48.86838;Itapeva;Dupla
SPA 282/258;0,8;-23.97517, -48.86823;Itapeva;Dupla
SPA 282/258;0,8;-23.97517, -48.86823;Itapeva;Dupla
SPA 282/258;1;-23.97722, -48.86929;Itapeva;Dupla
SPA 282/258;1;-23.97722, -48.86929;Itapeva;Dupla
SPA 282/258;1,3;-23.97956, -48.87084;Itapeva;Dupla
SPA 282/258;1,3;-23.97956, -48.87084;Itapeva;Dupla
SPA 282/258;1,3;-23.97807, -48.86971;Itapeva;Dupla
SPA 282/258;1,3;-23.97807, -48.86971;Itapeva;Dupla
SPA 282/258;1,5;-23.97982, -48.87274;Itapeva;Dupla
SPA 282/258;1,5;-23.97982, -48.87274;Itapeva;Dupla
SPA 282/258;1,5;-23.97986, -48.87241;Itapeva;Dupla
SPA 282/258;1,5;-23.97986, -48.87241;Itapeva;Dupla
SPA 282/258;1,8;-23.97998, -48.87368;Itapeva;Dupla
SPA 282/258;1,8;-23.97998, -48.87368;Itapeva;Dupla
SPA 284/258;0;-23.96515, -48.88051;Itapeva;Dupla
SPA 284/258;0;-23.96537, -48.88039;Itapeva;Dupla
SPA 284/258;0,2;-23.96674, -48.88015;Itapeva;Dupla
SPA 284/258;0,2;-23.96708, -48.87980;Itapeva;Dupla
SPA 284/258;0,1;-23.96847, -48.87951;Itapeva;Dupla
SPA 284/258;0,1;-23.96877, -48.87920;Itapeva;Dupla
SPA 284/258;0,6;-23.97046, -48.87881;Itapeva;Dupla
SPA 284/258;0,6;-23.97029, -48.87873;Itapeva;Dupla
SPA 284/258;0,8;-23.97215, -48.87833;Itapeva;Dupla
SPA 284/258;0,8;-23.97197, -48.87825;Itapeva;Dupla
SPA 294/250;15;-24.43065, -48.58255;Apiaí;Terra
SPA 294/250;18;-24.44174, -48.60124;Apiaí;Terra
SPA 294/250;0;-24.40058, -48.64534;Apiaí;Terra
SPA 294/250;1;-24.39891, -48.63861;Apiaí;Terra
SPA 294/250;2;-24.39285, -48.63187;Apiaí;Terra
SPA 294/250;3;-24.39085, -48.62987;Apiaí;Terra
SPA 294/250;4;-24.39921, -48.62121;Apiaí;Terra
SPA 294/250;5;-24.39814, -48.61497;Apiaí;Terra
SPA 294/250;6;-24.39896, -48.60818;Apiaí;Terra
SPA 294/250;7;-24.40101, -48.60081;Apiaí;Terra
SPA 294/250;8;-24.40387, -48.59420;Apiaí;Terra
SPA 294/250;9;-24.40732, -48.58807;Apiaí;Terra
SPA 294/250;10;-24.40719, -48.58176;Apiaí;Terra
SPA 294/250;11;-24.40917, -48.57589;Apiaí;Terra
SPA 294/250;12;-24.40977, -48.57285;Apiaí;Terra
SPA 294/250;13;-24.41696, -48.57114;Apiaí;Terra
SPA 294/250;14;-24.42346, -48.57677;Apiaí;Terra
SPA 294/250;16;-24.43731, -48.58936;Iporanga;Terra
SPA 294/250;19;-24.44188, -48.60840;Iporanga;Terra
SPA 324/259;0;-24.03163, -49.11057;Itaberá;Terra
SPA 324/259;1;-24.03285, -49.10095;Itaberá;Terra
SPA 324/259;2;-24.04065, -49.09649;Itaberá;Terra
SPA 324/259;2,7;-24.04380, -49.09123;Itaberá;Terra
SPA 338/258;0;-24.09757, -49.33255;Itararé;Simples
SPA 338/258;0,1;-24.09839, -49.33194;Itararé;Simples
SPA 338/258;0,2;-24.09917, -49.33136;Itararé;Simples
SPA 338/258;0,3;-24.09997, -49.33081;Itararé;Simples
